task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,1,100,0,60,0.48154142963333335,0.6366123883666666,0.36666666666666664,0.5833333333333334,0.9332364647833332,0.45169503515,0.9332364647833332
cognate,affinity,1,125,0,60,0.4735504829166667,0.6446033350833332,0.4,0.6,0.9443004763833334,0.47074999346666674,0.9443004763833334
cognate,affinity,1,150,0,60,0.48999696904999995,0.62815684895,0.35,0.6333333333333333,0.9274342460166667,0.43743727696666657,0.9274342460166667
cognate,affinity,1,0,1,200,0.49916294379,0.6189908742099999,0.335,0.63,0.9229515836400001,0.42378863985000004,0.9229515836400001
cognate,affinity,1,150,1,200,0.41409672003,0.7040570979699999,0.485,0.465,0.92886016082,0.51476344079,0.92886016082
cognate,affinity,10,0,0,60,0.48549372295,0.6326600950499999,0.3333333333333333,0.65,0.9199054874833333,0.43441176453333336,0.9199054874833333
cognate,affinity,10,25,0,60,0.37325488331666673,0.7448989346833332,0.5166666666666667,0.43333333333333335,0.9150370990333333,0.5417822157166666,0.9150370990333333
cognate,affinity,10,50,0,60,0.42853739650000006,0.6896164214999998,0.4666666666666667,0.48333333333333334,0.9285804637166668,0.5000430672166666,0.9285804637166668
cognate,affinity,10,75,0,60,0.4827980433833333,0.6353557746166666,0.36666666666666664,0.6,0.9305665270666668,0.4477684836833334,0.9305665270666668
cognate,affinity,10,100,0,60,0.4320448670499999,0.68610895095,0.4666666666666667,0.48333333333333334,0.9224369613833333,0.49039209433333325,0.9224369613833333
cognate,affinity,10,125,0,60,0.4389578127666667,0.6791960052333332,0.4666666666666667,0.5333333333333333,0.9308427430833334,0.4918849303166667,0.9308427430833334
cognate,affinity,10,150,0,60,0.5154152313833333,0.6027385866166666,0.3333333333333333,0.6,0.92091420605,0.40549897466666657,0.92091420605
cognate,affinity,10,0,1,200,0.471278669955,0.6468751480449999,0.385,0.595,0.9240480051500001,0.45276933519500007,0.9240480051500001
cognate,affinity,10,150,1,200,0.5042756938299999,0.61387812417,0.345,0.62,0.9326943555699999,0.42841866174000004,0.9326943555699999
cognate,affinity,11,0,0,60,0.5498738476333335,0.5682799703666664,0.26666666666666666,0.6666666666666666,0.9130955801833333,0.36322173254999995,0.9130955801833333
cognate,affinity,11,25,0,60,0.46883293403333337,0.6493208839666665,0.38333333333333336,0.5333333333333333,0.9159029091166667,0.4470699750833333,0.9159029091166667
cognate,affinity,11,50,0,60,0.5591510904333333,0.5590027275666666,0.3,0.7,0.93253676715,0.37338567671666667,0.93253676715
cognate,affinity,11,75,0,60,0.5175018637500001,0.6006519542499998,0.35,0.5833333333333334,0.9289373712,0.41143550745,0.9289373712
cognate,affinity,11,100,0,60,0.6000219359333335,0.5181318820666664,0.23333333333333334,0.7333333333333333,0.9498309821166667,0.3498090461833333,0.9498309821166667
cognate,affinity,11,125,0,60,0.5589716818666666,0.5591821361333333,0.3333333333333333,0.65,0.9433834892499999,0.3844118073833333,0.9433834892499999
cognate,affinity,11,150,0,60,0.45617927531666674,0.6619745426833332,0.4,0.55,0.9296780246999999,0.4734987493833333,0.9296780246999999
cognate,affinity,11,0,1,200,0.5042699915100001,0.6138838264899998,0.315,0.645,0.9225148510999999,0.41824485959,0.9225148510999999
cognate,affinity,11,150,1,200,0.540698374065,0.5774554439349999,0.315,0.66,0.9421335218499999,0.401435147785,0.9421335218499999
cognate,affinity,12,0,0,60,0.4847554282,0.6333983898,0.3333333333333333,0.65,0.9244134358833332,0.43965800768333335,0.9244134358833332
cognate,affinity,12,25,0,60,0.48387124251666674,0.6342825754833332,0.38333333333333336,0.6,0.93452747255,0.4506562300333334,0.93452747255
cognate,affinity,12,50,0,60,0.5425369908666666,0.5756168271333333,0.3,0.6833333333333333,0.9424596185666666,0.3999226277,0.9424596185666666
cognate,affinity,12,75,0,60,0.5100403443499999,0.60811347365,0.36666666666666664,0.6166666666666667,0.93259410645,0.42255376209999995,0.93259410645
cognate,affinity,12,100,0,60,0.5394321987833334,0.5787216192166665,0.36666666666666664,0.6333333333333333,0.9580723673166667,0.4186401685333332,0.9580723673166667
cognate,affinity,12,125,0,60,0.5509260119333332,0.5672278060666667,0.3333333333333333,0.6666666666666666,0.9457860743166666,0.3948600623833333,0.9457860743166666
cognate,affinity,12,150,0,60,0.6129494938333334,0.5052043241666665,0.25,0.7333333333333333,0.9452281741,0.3322786802666666,0.9452281741
cognate,affinity,12,0,1,200,0.49495925993,0.6231945580699999,0.35,0.59,0.911404161455,0.41644490152499997,0.911404161455
cognate,affinity,12,150,1,200,0.514307459845,0.6038463581549999,0.36,0.625,0.938856161735,0.42454870189000005,0.938856161735
cognate,affinity,13,0,0,60,0.5148173705,0.6033364474999999,0.35,0.55,0.8996278991666667,0.38481052866666665,0.8996278991666667
cognate,affinity,13,25,0,60,0.5090322420666668,0.6091215759333332,0.35,0.6,0.9203095770333334,0.4112773349666667,0.9203095770333334
cognate,affinity,13,50,0,60,0.46237035425000006,0.6557834637499999,0.4,0.5833333333333334,0.9304527565833333,0.46808240233333337,0.9304527565833333
cognate,affinity,13,75,0,60,0.4649878358666667,0.6531659821333332,0.45,0.5166666666666667,0.9326922181,0.46770438223333327,0.9326922181
cognate,affinity,13,100,0,60,0.4558224786,0.6623313393999999,0.48333333333333334,0.5,0.9367452001,0.48092272149999993,0.9367452001
cognate,affinity,13,125,0,60,0.5679809410333334,0.5501728769666665,0.23333333333333334,0.7166666666666667,0.9199830846833333,0.35200214365,0.9199830846833333
cognate,affinity,13,150,0,60,0.5539512971666667,0.5642025208333332,0.31666666666666665,0.65,0.9377376132666666,0.38378631609999997,0.9377376132666666
cognate,affinity,13,0,1,200,0.49272003126999997,0.6254337867299999,0.335,0.61,0.91820616288,0.42548613161000004,0.91820616288
